CAS,Tc,Pc,Vc,Zc,SMILES,Chemical,omega,Tc_error,Pc_error,Vc_error,ID,name,Tt,Pt,Tb,MW,Reference,Tm,Hfs,Hfl,Hfg,S0s,S0l,S0g,Hsub,Hfus,Hvap,AntoineTmin,AntoineTmax,AntoineA,AntoineB,AntoineC
619-82-9,819.8,3736000.0,0.000459,0.2515807769746129,OC(=O)C1CCC(CC1)C(O)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,
105-08-8,800.3,4000000.0,0.00044,0.2644999935963986,OCC1CCC(CO)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-37-6,738.15,4472000.0,0.000371,0.2703316500977407,Brc1ccc(Br)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,
110-56-5,641.0,3610000.0,0.000343,0.2323320408495392,ClCCCCCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476-11-5,640.0,3780000.0,0.000343,0.2436529987610875,ClC\C=C/CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
110-57-6,646.0,3780000.0,0.000346,0.2435012503301556,ClC/C=C/CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119-85-3,755.0,2950000.0,0.000426,0.2001937332214487,N#CC\C=C/CC#N,,,,,,,,,,,,,,,,,,,,,,,,,,,
540-36-3,556.9,4400000.0,0.0002999,0.2849822029451959,Fc1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123-91-1,587.0,5208000.0,0.000238,0.2539660394631671,C1COCCO1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012-72-2,708.0,2300000.0,0.000732,0.286003583262618,CC(C)(C)c1ccc(cc1)C(C)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
592-45-0,510.0,3350000.0,0.000331,0.2614980409590721,C/C=C/CC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
591-93-5,479.0,3740000.0,0.000303,0.2845407895230021,C=CCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
626-95-9,708.4,4354000.0,0.000342,0.2528143918390203,CC(O)CCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
706-31-0,745.0,2990000.0,0.000563,0.271762247393656,C/1C\C=C\CC\C=C/CC\C=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
111-78-4,645.0,3900000.0,0.000366,0.2661655187410653,C\1C\C=C/CC\C=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
628-76-2,668.0,3190000.0,0.000396,0.2274443859044509,ClCCCCCCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
592-42-7,508.0,3350000.0,0.000339,0.2688726378036847,C=CCCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
3173-72-6,818.0,2720000.0,0.000635,0.2539540484471839,O=C=Nc1cccc2c(cccc12)N=C=O,,,,,,,,,,,,,,,,,,,,,,,,,,,
462-94-2,642.0,3735000.0,0.000422,0.2952798720369058,NCCCCCN,,,,,,,,,,,,,,,,,,,,,,,,,,,
17059-48-2,717.3,3098000.0,0.0005,0.2597265829655411,CC1CCc2ccc(C)cc12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13048-33-4,765.0,1930000.0,0.000782,0.2372839929042937,C=CC(=O)OCCCCCCOC(=O)C=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647-16-1,606.8,2267000.0,0.000565,0.253875160379451,C=CCCCCCCC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
78-96-6,614.0,5670000.0,0.000278,0.3087630331590347,CC(O)CN,,,,,,,,,,,,,,,,,,,,,,,,,,,
109-65-9,570.4,4041000.0,0.000313,0.2666978324785349,CCCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,
143-15-7,727.9,1837000.0,0.000807,0.2449496293231002,CCCCCCCCCCCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,
629-04-9,646.1,2897000.0,0.000482,0.259933112603824,CCCCCCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,
